country,sex,age,country-year,year,population, gdp_for_year ($) ,gdp_per_capita ($),suicides_no,suicides/100k pop
Albania,male,15-24 years,Albania1987,1987,312900,2156624900,796,21,6.71
Albania,male,35-54 years,Albania1987,1987,308000,2156624900,796,16,5.19
Albania,female,15-24 years,Albania1987,1987,289700,2156624900,796,14,4.83
Albania,male,75+ years,Albania1987,1987,21800,2156624900,796,1,4.59
Albania,male,25-34 years,Albania1987,1987,274300,2156624900,796,9,3.28
Albania,female,75+ years,Albania1987,1987,35600,2156624900,796,1,2.81
Albania,female,35-54 years,Albania1987,1987,278800,2156624900,796,6,2.15
Albania,female,25-34 years,Albania1987,1987,257200,2156624900,796,4,1.56
Albania,male,55-74 years,Albania1987,1987,137500,2156624900,796,1,0.73
Albania,female,5-14 years,Albania1987,1987,311000,2156624900,796,0,0
Albania,female,55-74 years,Albania1987,1987,144600,2156624900,796,0,0
Albania,male,5-14 years,Albania1987,1987,338200,2156624900,796,0,0
Albania,female,75+ years,Albania1988,1988,36400,2126000000,769,2,5.49
Albania,male,15-24 years,Albania1988,1988,319200,2126000000,769,17,5.33
Albania,male,75+ years,Albania1988,1988,22300,2126000000,769,1,4.48
Albania,male,35-54 years,Albania1988,1988,314100,2126000000,769,14,4.46
Albania,male,55-74 years,Albania1988,1988,140200,2126000000,769,4,2.85
Albania,female,15-24 years,Albania1988,1988,295600,2126000000,769,8,2.71
Albania,female,55-74 years,Albania1988,1988,147500,2126000000,769,3,2.03
Albania,female,25-34 years,Albania1988,1988,262400,2126000000,769,5,1.91
Albania,male,25-34 years,Albania1988,1988,279900,2126000000,769,5,1.79
Albania,female,35-54 years,Albania1988,1988,284500,2126000000,769,4,1.41
Albania,female,5-14 years,Albania1988,1988,317200,2126000000,769,0,0
Albania,male,5-14 years,Albania1988,1988,345000,2126000000,769,0,0
Albania,male,75+ years,Albania1989,1989,22500,2335124988,833,2,8.89
Albania,male,25-34 years,Albania1989,1989,283600,2335124988,833,18,6.35
Albania,male,35-54 years,Albania1989,1989,318400,2335124988,833,15,4.71
Albania,male,55-74 years,Albania1989,1989,142100,2335124988,833,6,4.22
Albania,male,15-24 years,Albania1989,1989,323500,2335124988,833,12,3.71
Albania,female,35-54 years,Albania1989,1989,288600,2335124988,833,7,2.43
Albania,female,15-24 years,Albania1989,1989,299900,2335124988,833,5,1.67
Albania,female,25-34 years,Albania1989,1989,266300,2335124988,833,2,0.75
Albania,female,55-74 years,Albania1989,1989,149600,2335124988,833,1,0.67
Albania,female,5-14 years,Albania1989,1989,321900,2335124988,833,0,0
Albania,female,75+ years,Albania1989,1989,37000,2335124988,833,0,0
Albania,male,5-14 years,Albania1989,1989,349700,2335124988,833,0,0
Albania,male,35-54 years,Albania1992,1992,343800,709452584,251,12,3.49
Albania,male,15-24 years,Albania1992,1992,263700,709452584,251,9,3.41
Albania,male,55-74 years,Albania1992,1992,159500,709452584,251,5,3.13
Albania,male,25-34 years,Albania1992,1992,245500,709452584,251,7,2.85
Albania,female,15-24 years,Albania1992,1992,292400,709452584,251,7,2.39
Albania,female,25-34 years,Albania1992,1992,267400,709452584,251,4,1.5
Albania,female,35-54 years,Albania1992,1992,323100,709452584,251,2,0.62
Albania,female,55-74 years,Albania1992,1992,164900,709452584,251,1,0.61
Albania,female,5-14 years,Albania1992,1992,336700,709452584,251,0,0
Albania,female,75+ years,Albania1992,1992,38700,709452584,251,0,0
Albania,male,5-14 years,Albania1992,1992,362900,709452584,251,0,0
Albania,male,75+ years,Albania1992,1992,23900,709452584,251,0,0
Albania,male,15-24 years,Albania1993,1993,243300,1228071038,437,18,7.4
Albania,male,55-74 years,Albania1993,1993,165000,1228071038,437,7,4.24
Albania,male,75+ years,Albania1993,1993,24200,1228071038,437,1,4.13
Albania,male,25-34 years,Albania1993,1993,230100,1228071038,437,9,3.91
Albania,female,15-24 years,Albania1993,1993,285300,1228071038,437,10,3.51
Albania,male,35-54 years,Albania1993,1993,350300,1228071038,437,10,2.85
Albania,female,25-34 years,Albania1993,1993,261800,1228071038,437,7,2.67
Albania,female,35-54 years,Albania1993,1993,331200,1228071038,437,7,2.11
Albania,female,55-74 years,Albania1993,1993,169500,1228071038,437,2,1.18
Albania,female,5-14 years,Albania1993,1993,340300,1228071038,437,1,0.29
Albania,male,5-14 years,Albania1993,1993,367000,1228071038,437,1,0.27
Albania,female,75+ years,Albania1993,1993,39300,1228071038,437,0,0
Albania,male,75+ years,Albania1994,1994,24600,1985673798,697,2,8.13
Albania,male,55-74 years,Albania1994,1994,171400,1985673798,697,11,6.42
Albania,female,75+ years,Albania1994,1994,39900,1985673798,697,2,5.01
Albania,male,25-34 years,Albania1994,1994,231400,1985673798,697,6,2.59
Albania,male,35-54 years,Albania1994,1994,362800,1985673798,697,9,2.48
Albania,male,15-24 years,Albania1994,1994,242200,1985673798,697,6,2.48
Albania,female,15-24 years,Albania1994,1994,282600,1985673798,697,6,2.12
Albania,female,25-34 years,Albania1994,1994,261100,1985673798,697,4,1.53
Albania,female,35-54 years,Albania1994,1994,342500,1985673798,697,2,0.58
Albania,female,55-74 years,Albania1994,1994,174600,1985673798,697,1,0.57
Albania,male,5-14 years,Albania1994,1994,371800,1985673798,697,1,0.27
Albania,female,5-14 years,Albania1994,1994,344400,1985673798,697,0,0
Albania,male,25-34 years,Albania1995,1995,232900,2424499009,835,13,5.58
Albania,male,55-74 years,Albania1995,1995,178000,2424499009,835,9,5.06
Albania,female,75+ years,Albania1995,1995,40800,2424499009,835,2,4.9
Albania,female,15-24 years,Albania1995,1995,283500,2424499009,835,13,4.59
Albania,male,15-24 years,Albania1995,1995,241200,2424499009,835,11,4.56
Albania,male,75+ years,Albania1995,1995,25100,2424499009,835,1,3.98
Albania,male,35-54 years,Albania1995,1995,375900,2424499009,835,14,3.72
